Grupo,Medicamento,Claves,Descripcion_Indicaciones_Dosis,Generalidades,Riesgo_Embarazo,Efectos_Adversos,Contraindicaciones_Precauciones,Interacciones
Grupo 1: Analgesia,METAMIZOL SÓDICO,010.000.0108.00; 010.000.0109.00,COMPRIMIDO Fiebre. Oral. Dolor agudo o crónico Cada comprimido contiene: Adultos: Metamizol sódico 500 mg. Algunos casos de dolor visceral. De 500-1000 mg cada 6 u 8 horas. 010.000.0108.00 Envase con 10 comprimidos. SOLUCIÓN INYECTABLE Intramuscular o intravenosa. Cada ampolleta contiene: Adultos: Metamizol sódico 1 g. 1 g cada 6 u 8 horas por vía intramuscular profunda. 010.000.0109.00 Envase con 3 ampolletas con 1 a 2 g cada 12 horas por vía intravenosa. 2 ml.,Inhibe la síntesis de prostaglandinas y actúa sobre el centro termorregulador en el hipotálamo.,X,"Reacciones de hipersensibilidad: agranulocitosis, leucopenia, trombocitopenia, anemia hemolítica.","Contraindicado: Hipersensibilidad al fármaco y a pirazolonas. Insuficiencia renal o hepática, discrasias sanguíneas, úlcera duodenal. Precauciones: No administrar por periodos largos. Valoración hematológica durante el tratamiento. No se recomienda en niños.",Con neurolépticos puede ocasionar hipotermia grave. MORFINA
Grupo 1: Analgesia,MORFINA,040.000.2099.00; 040.000.2102.00; 040.000.2103.00; 040.000.4029.00,"SOLUCIÓN INYECTABLE Dolor agudo o crónico de Intravenosa, intramuscular o epidural. moderado a intenso Cada ampolleta contiene: ocasionado por: Adultos: Sulfato de morfina Cáncer (fase preterminal y Pentahidratada 2.5 mg. terminal). 5 a 20 mg cada 4 horas, según la respuesta terapéutica. 040.000.2099.00 Envase con 5 ampolletas con Infarto agudo al miocardio. 2.5 ml. Epidural: 0.5 mg, seguido de 1-2 mg hasta SOLUCIÓN INYECTABLE 10 mg/día. En el control del dolor Cada ampolleta contiene: posquirúrgico en pacientes Niños: Sulfato de morfina politraumatizados y en 0.05-0.2 mg/kg cada 4 horas hasta 15 mg. pentahidratada 50 mg. aquellos con quemaduras. Requiere receta de narcóticos. 040.000.2102.00 Envase con 1 ampolleta con 2.0 ml. SOLUCIÓN INYECTABLE Cada ampolleta contiene: Sulfato de morfina 10 mg. 040.000.2103.00 Envase con 5 ampolletas. TABLETA Cada tableta contiene: Sulfato de morfina pentahidratado equivalente a 30 mg de sulfato de morfina. 040.000.4029.00 Envase con 20 tabletas.","Agonista opioide de los receptores µ y κ. Su efecto analgésico se ha relacionado con la activación de los receptores µ supraespinales, y K a nivel de la médula espinal.",B,"8 martes, 06 de noviembre de 2018 Depresión respiratoria, nausea, vómito, urticaria, euforia, sedación, broncoconstricción, hipotensión arterial ortostática, miosis, bradicardia, convulsiones y adicción.","Contraindicaciones: Hipersensibilidad al fármaco, tratamiento con inhibidores de la monoaminoxidasa, traumatismo craneoencefálico, hipertensión intracraneal y disfunción respiratoria, arritmias cardiacas, psicosis, hipotiroidismo y cólico biliar.","Asociado a benzodiazepinas, cimetidina, fenotiazinas, hipnóticos, neurolépticos y el alcohol produce depresión respiratoria. Inhibidores de la monoaminooxidasa potencian los efectos de la morfina. NALBUFINA"
Grupo 1: Analgesia,NALBUFINA,040.000.0132.00; 040.000.0132.01,"SOLUCIÓN INYECTABLE Dolor de intensidad Intramuscular, intravenosa o subcutánea. moderada a severa asociado a: Cada ampolleta contiene: Infarto agudo del miocardio. Adultos: Clorhidrato de 10 a 20 mg cada 4 a 6 Nalbufina 10 mg. Procedimientos de exploración diagnóstica que puedan ser horas. Dosis máxima: molestos o doloroso. 160 mg/ día. 040.000.0132.00 Envase con 3 ampolletas de 1 ml. Dosis máxima por aplicación: 20 mg. 040.000.0132.01 Envase con 5 ampolletas de 1 ml.",Agonista-antagonista de los opiáceos que guarda relación química con la naloxona y con la oximorfona. Produce analgesia mediante su acción sobre los receptores opiáceos kappa y antagonismo de los receptores mu.,B,"Cefalea, sedación, náusea, vómito, estreñimiento, retención urinaria, sequedad de la boca, sudoración excesiva y depresión respiratoria.","Contraindicaciones: Hipersensibilidad al fármaco, hipertensión intracraneal, insuficiencia hepática y renal e inestabilidad emocional.",Con benzodiazepinas produce depresión respiratoria. Los inhibidores de la monoaminooxidasa potencian los efectos de la nalbufina. OXICODONA
Grupo 1: Analgesia,OXICODONA,040.000.4032.00; 040.000.4032.01; 040.000.4033.00; 040.000.4033.01,TABLETA DE LIBERACIÓN Dolor grave secundario a Oral. PROLONGADA padecimientos: Osteoarticulares. Musculares crónicos. Cáncer. Cada tableta contiene: Adultos: Clorhidrato de Oxicodona 20 mg. Tomar 10 a 20 mg cada 12 horas. Incrementar la dosis de acuerdo a la 040.000.4032.00 Envase con 30 tabletas de intensidad del dolor y a juicio del liberación prolongada. especialista. 040.000.4032.01 Envase con 100 tabletas de liberación prolongada. TABLETA DE LIBERACIÓN PROLONGADA Cada tableta contiene: Clorhidrato de Oxicodona 10 mg. 040.000.4033.00 Envase con 30 tabletas de liberación prolongada. 040.000.4033.01 Envase con 100 tabletas de liberación prolongada.,"9 martes, 06 de noviembre de 2018 Agonista opioide, con acción pura sobre los receptores opioides κ, μ y δ del cerebro y de la médula espinal. El efecto terapéutico es principalmente analgésico, ansiolítico y sedante.",C,"Depresión respiratoria, apnea, paro respiratorio, depresión circulatoria, hipotensión arterial, constipación, estreñimiento, nausea, vómito, somnolencia, vértigo, prurito, cefalea, ansiedad, choque y dependencia física.","Contraindicaciones: Hipersensibilidad al fármaco, depresión respiratoria, asma bronquial, hipercapnia, íleo paralítico, abdomen agudo, enfermedad hepática aguda. Sensibilidad conocida a oxicodona, morfina u otros opiáceos. Precauciones: Embarazo y lactancia, trastornos convulsivos.","Potencian los efectos de las fenotiacinas, antidepresivos tricíclicos, anestésicos, hipnóticos, sedantes, alcohol, miorrelajantes y antihipertensivos. Disminuye su efecto con: inhibidores de la monoaminoxidasa. PARACETAMOL"
Grupo 1: Analgesia,PARACETAMOL,010.000.0104.00; 010.000.0105.00; 010.000.0106.00,"TABLETA Oral. Cada tableta contiene: Adultos: Paracetamol 500 mg. 250-500 mg cada 4 ó 6 horas. 010.000.0104.00 Envase con 10 tabletas. Rectal. Adultos: SUPOSITORIO 300-600 mg cada 4 ó 6 horas. Cada supositorio contiene: Fiebre Paracetamol 300 mg. Dolor agudo o crónico Niños: 010.000.0105.00 Envase con 3 supositorios. De 6 a 12 años: 300 mg cada 4 ó 6 horas. De 2 a 6 años: 100 mg cada 6 u 8 horas. Mayores de 6 meses a un año: 100 mg cada 12 horas. SOLUCIÓN ORAL Oral. Cada ml contiene: Paracetamol 100 mg. Niños: 010.000.0106.00 Envase con 15 ml, gotero calibrado De 10 a 30 mg/kg de peso corporal, cada 4 ó 6 a 0.5 y 1 ml, integrado o adjunto al horas. envase que sirve de tapa.",Inhibe la síntesis de prostaglandinas y actúa sobre el centro termorregulador en el hipotálamo.,B,"Reacciones de hipersensibilidad: erupción cutánea, neutropenia, pancitopenia, necrosis hepática, necrosis túbulorrenal e hipoglucemia.","Contraindicaciones: Hipersensibilidad al fármaco, disfunción hepática e insuficiencia renal grave. Precauciones: No deben administrarse más de 5 dosis en 24 horas ni durante más de 5 días.","El riesgo de hepatotoxicidad al paracetamol aumenta en pacientes alcohólicos y en quienes ingieren medicamentos inductores del metabolismo como: fenobarbital, fenitoína y carbamazepina. El metamizol aumenta el efecto de anticoagulantes orales."
Grupo 1: Analgesia,TRAMADOL,040.000.2106.00,SOLUCIÓN INYECTABLE Dolor de moderado a severo Intramuscular o intravenosa. de origen agudo o crónico por: Cada ampolleta contiene: Clorhidrato Fracturas. Adultos y niños mayores de 14 de Luxaciones. años: Tramadol 100 mg. Infarto agudo del miocardio. Cáncer. 50 a 100 mg cada 8 horas. Envase con 5 ampolletas de 2 040.000.2106.00 ml. Dosis máxima 400 mg/día.,"Agonista no selectivo en receptores µ, d y k de opioides con una mayor afinidad por el receptor µ. Además de su efecto de inhibición de la recaptación neuronal de noradrenalina y mejoramiento de la liberación de serotonina.",B,"Náusea, mareos, bochornos, taquicardia, hipotensión arterial, sudoración y depresión respiratoria.","Contraindicaciones: Hipersensibilidad al fármaco, traumatismo craneoencefálico, hipertensión intracraneal y disfunción respiratoria, arritmias cardiacas, psicosis e hipotiroidismo.",Asociado a benzodiazepinas y alcohol produce depresión respiratoria. Los inhibidores de la monoaminooxidasa potencian sus efectos. TRAMADOL-PARACETAMOL
Grupo 1: Analgesia,TRAMADOL-PARACETAMOL,040.000.2096.00,"TABLETA Dolor de moderado a severo, Oral agudo o crónico. Cada tableta contiene: Adultos y mayores de 16 años de edad: Clorhidrato de Tramadol 37.5 mg. 37.5 mg /325 mg a 75 mg / 650 mg cada 6 a 8 horas, Paracetamol 325.0 mg. hasta un máximo de 300 mg / 2600 mg por día. 040.000.2096.00 Envase con 20 tabletas.","Tramadol es un analgésico de acción central. Tiene dos mecanismos de acción, unión de un metabolito M1 a receptores µ‐ opioides e inhibición débil de la recaptura de norepinefrina y serotonina. El paracetamol es otro analgésico de acción central. Su mecanismo de acción es a través de la inhibición del canal de óxido nítrico y mediado por la gran variedad de receptores neurotransmisores que incluyen el N‐metil‐D aspartato y la sustancia P.",X,Contraindicaciones y Precauciones,"Contraindicaciones: Hipersensibilidad a los fármacos, alcohol, hipnóticos, analgésicos con acción central, opioides o drogas psicotrópicas. Precauciones: No se debe coadministrar en pacientes que estén recibiendo inhibidores MAO o quienes los hayan tomado durante 14 días anteriores.","Inhibidores de la MAO y de la recaptura de serotonina, Carbamazepina, Quidina, Warfarina e Inhibidores de CYP2D6."
Grupo 2: Anestesia,ATROPINA,010.000.0204.00,"SOLUCIÓN INYECTABLE Preanestesia. Intramuscular o intravenosa. Arritmias cardiacas. Adultos: Cada ampolleta contiene: 0.5 a 1 mg. Dosis máxima 2 mg. Sulfato de atropina 1 mg. Bradicardia. Bloqueo A-V. Niños: 0.01 mg/kg de peso corporal cada 6 horas. Preanestesia: 0.01 mg/kg de peso corporal, 45 a 60 010.000.0204.00 Envase con 50 ampolletas con minutos antes de la anestesia. Dosis máxima 0.4 mg. 1 ml.","Alcaloide anticolinérgico que compite sobre los receptores muscarínicos, antagonizando selectivamente los efectos de la acetilcolina y de medicamentos muscarínicos.",C,"Taquicardia, midriasis, sequedad de mucosas, visión borrosa, excitación, confusión mental, estreñimiento, retención urinaria y urticaria.","Contraindicaciones: Hipersensibilidad al fármaco, glaucoma, obstrucción vesical, colitis ulcerativa, ileo paralítico y miastenia grave.","Aumenta las acciones antimuscarínicas de antidepresivos, antihistamínicos, meperidina, fenotiazinas, metilfenidato y orfenadrina. Disminuye la acción de la pilocarpina. La vitamina C favorece la eliminación de la atropina. BUPIVACAÍNA"
Grupo 2: Anestesia,BUPIVACAÍNA,010.000.0271.00; 010.000.4055.00,SOLUCIÓN INYECTABLE Anestesia epidural y caudal Infiltración. Cada ml contiene: Anestesia local. Adultos y niños mayores de 12 años: Clorhidrato de Anestesia caudal: 75 a 150 mg repetir cada 3 horas bupivacaína 5 mg. de acuerdo al procedimiento anestésico. Anestesia regional 25 a 50 mg. La dosis única no debe exceder de 175 mg y la dosis 010.000.0271.00 Envase con 30 ml. total de 400 mg/día. SOLUCIÓN INYECTABLE Anestesia local. Infiltración local o subaracnoidea. Cada ampolleta contiene: Bloqueo subaracnoideo. Adultos y niños mayores de 12 años: Clorhidrato de Dosis inicial de 10 a 15 mg. bupivacaína 15 mg. Dosis subsecuente de acuerdo a peso y talla del Dextrosa anhídra o paciente. glucosa anhídra 240 mg. ó Cada dosis no debe exceder de 175 mg y la dosis total Glucosa monohidratada de 400 mg/día. equivalente a 240 mg de glucosa anhídra. 010.000.4055.00 Envase con 5 ampolletas con 3 ml.,"Anestésico local que bloquea la conducción nerviosa interfiriendo en el intercambio de sodio y potasio, a través de la membrana celular.",C,"Reacciones alérgicas, nerviosismo, mareo, visión borrosa, convulsiones, inconsciencia, hipotensión arterial y arritmias cardiacas.","Contraindicaciones: Hipersensibilidad al fármaco, miastenia gravis, epilepsia, arritmias, insuficiencia cardiaca o hepática. martes, 05 de septiembre de 2017 2","Con antidepresivos se favorece la hipertensión arterial. Con anestésicos inhalados se incrementa riesgo de arritmias. CISATRACURIO, BESILATO DE"
Grupo 2: Anestesia,"CISATRACURIO, BESILATO DE",010.000.4061.00,"SOLUCIÓN INYECTABLE Relajación neuromuscular. Intravenosa. Cada ml contiene: Besilato Adultos: de cisatracurio equivalente Inducción 0.15 mg/kg de peso corporal, a 2 mg de cisatracurio mantenimiento: 0.03 mg/kg de peso corporal. Niños: Inducción: 0.1 mg/kg de peso corporal, mantenimiento: 0.02 mg/kg de peso corporal. 010.000.4061.00 Envase con 1 ampolleta con 5 ml. Administrar diluido en soluciones intravenosas envasadas en frascos de vidrio.","Relajante no despolarizante del músculo esquelético de duración intermedia, que actúa como antagonista de los receptores colinérgicos nicotinicos de la placa neuromuscular.",C,"Erupción cutánea, rubor, bradicardia, hipotensión, broncoespasmo y reacciones anafilácticas. Contraindicaciones y Precauciones","Contraindicaciones: Hipersensibilidad al fármaco, al atracurio o al ácido bencensulfónico.","Anestésicos inhalatorios, aminoglucósidos, clindamicina, lincomicina, propranolol, bloqueadores de canales de calcio, procainamida y furosemida aumentan su efecto. Fenitoína y carbamazepina disminuyen su efecto. DESFLURANO"
Grupo 2: Anestesia,DESFLURANO,010.000.0234.00,LÍQUIDO Inducción y mantenimiento Inhalación. de la anestesia general. Cada envase contiene: Adultos: Desflurano 240 ml. 2-12% 010.000.0234.00 Envase con 240 ml.,Anestésico general que produce una pérdida de la conciencia y de las sensaciones de dolor y permite una recuperación rápida.,D,"Depresión respiratoria, hipotensión arterial, bradicardia o taquicardia, agitación, temblor, náusea y vómito.","Contraindicaciones: Hipersensibilidad a los anestésicos halogenados, antecedentes de hipertermia maligna e insuficiencia renal.",Con aminoglucósidos aumenta el bloqueo neuromuscular. Con antihipertensivos incrementa la hipotensión arterial. Potencia la acción de los depresores del sistema nervioso central. ETOMIDATO
